,run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.accuracy,metrics.auc,params.min_samples_leaf,params.n_estimators,params.criterion,params.max_depth,tags.mlflow.runName,tags.mlflow.source.name,tags.mlflow.source.type,tags.mlflow.log-model.history,tags.mlflow.user,tags.mlflow.source.git.commit
0,0b05450317414f189df5a95ded3823a9,805368979064007483,RUNNING,file:///C:/kartikey/PYTHONPROJ/FMD_DOCKER2/mlruns/805368979064007483/0b05450317414f189df5a95ded3823a9/artifacts,2024-02-15 05:14:10.259000+00:00,,0.8053333333333333,0.7269697486645341,6,50,entropy,8,bright-snail-313,src\train_model.py,LOCAL,"[{""run_id"": ""0b05450317414f189df5a95ded3823a9"", ""artifact_path"": ""best model"", ""utc_time_created"": ""2024-02-15 05:14:14.701158"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.8.18"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.3.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}, ""model_uuid"": ""38ddd114b8d14394aaacdce04a00cb1b"", ""mlflow_version"": ""2.10.0"", ""model_size_bytes"": 1221639}]",91951,eabadc418dab46af8eb2f51276af6a066dead8f7
1,f8ac88eb767d40a399065ed0022288e9,805368979064007483,FINISHED,file:///C:/kartikey/PYTHONPROJ/FMD_DOCKER2/mlruns/805368979064007483/f8ac88eb767d40a399065ed0022288e9/artifacts,2024-02-15 05:05:19.178000+00:00,2024-02-15 05:05:29.422000+00:00,0.81,0.7336254324649646,8,50,gini,6,adaptable-ox-590,src\train_model.py,LOCAL,"[{""run_id"": ""f8ac88eb767d40a399065ed0022288e9"", ""artifact_path"": ""best model"", ""utc_time_created"": ""2024-02-15 05:05:22.211515"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.8.18"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.3.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}, ""model_uuid"": ""e0e08108fb4d4489b9a8af27e2ee60c9"", ""mlflow_version"": ""2.10.0"", ""model_size_bytes"": 428283}]",91951,eabadc418dab46af8eb2f51276af6a066dead8f7
2,ae43bfb5200343a598a429574583aadb,805368979064007483,FINISHED,file:///C:/kartikey/PYTHONPROJ/FMD_DOCKER2/mlruns/805368979064007483/ae43bfb5200343a598a429574583aadb/artifacts,2024-02-15 04:51:53.588000+00:00,2024-02-15 04:52:06.082000+00:00,0.8123333333333334,0.7313405256773363,8,50,gini,10,lyrical-rook-955,src\train_model.py,LOCAL,"[{""run_id"": ""ae43bfb5200343a598a429574583aadb"", ""artifact_path"": ""best model"", ""utc_time_created"": ""2024-02-15 04:51:58.028779"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.8.18"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.3.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}, ""model_uuid"": ""acf70f2911fb496b8191e5fb72207e3d"", ""mlflow_version"": ""2.10.0"", ""model_size_bytes"": 2415324}]",91951,eabadc418dab46af8eb2f51276af6a066dead8f7
